"month","title","author","publisher","format","isbn_or_year"
"August 2023","Getting Better","Michael Rosen","epub","Penguin","9781473599383"
"August 2023","Bruce Lee","Matthew Polly","epub","Simon & Schuster","9781471175718"
"August 2023","Smart & Gets Things Done","Joel Spolsky","hardback","Apress","9781590598382"
"August 2023","The Practice Of Not Thinking","Ryunosuke Koike","epub","Penguin","9780141994628"
"September 2023","Big Swiss","Jen Beagin","epub","Simon & Schuster","9781982153106"
"September 2023","What Every Kid Wished Their Parents Knew","Rob Parsons & Lloyd Parsons","hardback","Care For The Family","9780995559684"
"September 2023","Penance","Eliza Clark","epub","Faber & Faber","9780571371792"
"October 2023","The Art of the Straight Line","Lou Reed","hardback","Faber & Faber","9780571383306"
"October 2023","We Don't Go Back: A Watcher's Guide to Folk Horror","Howard David Ingham","epub","Room 207 Press","9781722748814"
"October 2023","The Salt Path","Raynor Winn","epub","Penguin","9780525505860"
"October 2023","Git Prodigy","Ebenezer Don","pdf","Leanpub","n/a"
"October 2023","Git Essentials","François Dupire","pdf","StackAbuse","n/a"
"October 2023","The Wolves of Eternity","Karl Ove Knausgaard","epub","Penguin","9780593490846"
"November 2023","Let The Right One In","John Ajvide Lindqvist","epub","Quercus","9781847242969"
"November 2023","Painless Git","Nate Dickson","pdf","Leanpub","n/a"
"November 2023","Record of a Night Too Brief","Hiromi Kawakami","epub","Pushkin Press","9781782272724"
"November 2023","Strange Weather In Tokyo","Hiromi Kawakami","epub","Counterpoint","9781640090163"
"November 2023","Parade","Hiromi Kawakami","epub","Soft Skull","9781593765804"
"November 2023","The Ten Loves Of Nishino","Hiromi Kawakami","epub","Europa Editions","9781609455323"
"December 2023","The Nakano Thrift shop","Hiromi Kawakami","epub","Europa Editions","9781609454005"
